"Qion(mass), created by Plot Digitizer, 2.6.8"
"Date: 4/28/16, 3:26:31 PM"


55
mass,Qion
2.02852,0.00118998,
2.94419,0.00272620,
4.45597,0.00502813,
5.99814,0.00778581,
8.00654,0.0156449,
10.6875,0.0275956,
12.4232,0.358646,
13.9106,0.213164,
16.6521,0.976851,
19.9355,1.87752,
23.3743,1.06894,
27.0602,3.45930,
29.2964,17.2754,
30.7999,151.715,
31.7101,1221.26,
32.9224,7575.60,
34.6071,346737,
38.4128,15203313,
41.4130,86489616,
46.1686,451222848,
52.3454,639512512,
56.2094,363795744,
60.6078,452382720,
62.6837,53841224,
63.7845,28065.0,
66.2790,11.2744,
69.7039,2.16430,
78.0503,1.08117,
93.0461,3.07216,
102.438,13.4694,
110.444,45.4945,
112.760,335.714,
115.471,1993686912,
119.384,13489095680,
121.906,17509597184,
129.281,4177099264,
133.821,36678.2,
142.589,17.5352,
154.409,5.92296,
165.108,5.43347,
184.073,20.9136,
191.809,59351.3,
196.526,706325952,
210.951,35270365184,
242.193,59482755072,
272.316,54592819200,
276.053,272458,
286.889,21.9339,
329.412,11.4462,
392.736,11.9743,
472.146,23.0157,
511.164,114.938,
523.806,298993,
532.117,28632619008,
595.715,136952340480,
